0,1,2,3,4,5,6
75,85,90,70,50,80,2
65,80,85,50,50,85,2
80,85,80,60,50,70,6
90,70,70,60,60,85,2
85,75,70,60,50,70,2
70,85,85,70,50,85,2
85,85,65,65,55,80,6
60,65,60,65,50,70,6
80,75,95,70,50,80,1
65,65,65,60,50,60,6
65,80,65,50,50,85,2
85,85,100,65,65,95,2
70,90,85,60,45,85,1
70,90,90,55,60,95,5
60,75,75,60,55,70,2
80,65,55,55,60,75,2
65,75,65,60,55,75,4
70,100,85,75,60,85,1
75,90,90,85,60,95,2
65,55,80,60,45,75,2
40,60,55,50,65,50,3
60,75,70,75,55,80,2
65,95,90,70,65,85,2
70,70,75,50,50,70,6
70,90,75,60,50,85,6
65,55,80,50,45,85,6
80,65,65,60,55,65,6
75,75,75,75,45,80,2
85,75,75,80,65,80,6
70,75,80,55,45,65,6
70,65,70,65,60,70,6
55,55,65,60,40,85,1
75,70,75,75,45,70,1
85,70,70,60,50,65,5
60,75,65,65,50,70,4
55,75,85,50,55,85,1
75,65,75,75,65,80,5
55,70,55,60,40,70,6
95,100,85,75,70,90,2
65,75,70,60,65,70,1
75,75,70,55,55,75,6
55,65,70,55,50,80,5
80,80,85,60,55,85,5
80,70,70,65,60,70,2
70,75,95,70,50,80,2
65,80,80,65,55,80,2
55,75,45,50,50,60,2
75,70,65,65,55,70,2
75,70,65,60,50,75,6
65,75,75,70,60,65,6
70,75,80,55,50,75,6
75,85,85,75,65,85,5
90,90,60,70,80,75,6
40,40,40,40,40,40,1
75,70,55,55,70,70,5
85,60,70,55,55,65,5
70,75,80,55,50,75,1
65,75,80,55,50,70,1
80,80,75,60,55,75,6
70,80,65,65,50,75,6
75,70,65,60,45,70,6
60,80,65,50,55,70,5
65,80,80,60,55,70,2
75,55,55,60,60,50,5
65,80,60,65,60,75,5
60,60,65,60,50,75,1
70,65,65,55,70,80,6
85,80,65,70,50,85,2
55,65,70,60,45,70,1
55,75,70,55,55,75,1
65,65,85,75,70,75,2
70,70,70,60,55,75,1
70,70,75,65,65,75,1
65,55,60,55,50,70,5
80,75,65,75,75,75,6
60,75,70,50,70,70,5
80,60,70,55,60,65,5
60,80,70,65,60,80,2
70,65,80,55,55,70,5
75,80,70,60,55,65,1
75,60,85,65,60,70,2
70,90,55,65,50,75,5
70,65,70,55,50,75,2
90,75,70,55,60,60,1
65,60,70,40,50,70,5
80,70,80,50,55,75,2
65,70,60,65,45,55,6
70,70,75,60,55,75,2
55,65,80,70,90,55,2
75,80,65,70,55,70,5
75,90,70,55,45,85,2
80,65,65,60,60,75,5
70,75,70,55,50,75,2
90,75,95,55,70,100,2
90,75,75,80,80,75,1
60,60,75,60,55,80,1
70,65,90,50,50,85,2
75,80,70,85,65,75,1
70,70,65,65,65,70,5
60,70,55,55,50,60,5
65,70,80,55,50,90,2
55,80,65,60,40,85,2
75,95,90,50,55,90,2
80,80,85,65,55,75,6
70,75,75,60,50,75,1
60,75,65,45,50,80,2
85,70,80,60,55,70,1
65,80,70,55,55,80,5
60,75,65,60,70,65,1
60,70,70,60,55,75,2
80,75,75,70,50,85,1
80,85,80,70,50,80,6
70,70,80,50,50,80,2
85,70,80,50,50,80,2
55,70,60,55,45,70,2
70,75,70,70,50,70,5
70,65,55,50,70,80,5
75,75,85,60,55,80,6
70,70,80,60,55,80,5
65,70,80,60,55,75,1
90,95,80,75,90,95,2
65,80,70,70,60,80,5
60,75,75,60,50,80,5
70,75,75,65,50,65,5
55,80,80,60,60,75,2
80,70,85,65,60,75,1
70,80,80,60,60,65,2
65,70,65,55,40,75,2
80,85,70,60,55,75,5
60,70,80,65,55,80,2
65,70,65,60,50,75,1
80,75,80,65,55,80,5
75,75,65,85,85,85,5
75,75,75,55,50,80,1
75,100,90,60,60,85,2
70,70,80,65,60,80,100
60,65,65,55,50,60,6
80,85,80,70,60,75,6
75,80,70,45,55,75,1
50,75,80,55,40,85,1
60,65,75,50,55,70,2
70,70,70,65,70,70,2
70,75,70,65,55,70,5
50,60,55,60,55,65,2
40,60,60,55,45,65,2
60,60,75,60,80,70,3
60,50,60,55,50,60,6
65,60,65,55,45,70,1
65,70,75,60,40,70,2
65,85,80,55,55,75,1
85,65,60,45,55,70,6
75,55,55,55,60,60,5
75,80,70,55,50,85,5
80,80,85,65,65,80,5
90,85,75,75,70,55,6
70,75,75,60,65,80,1
60,60,65,60,55,75,2
65,80,90,60,55,90,5
65,75,65,50,60,90,6
75,70,90,55,55,65,2
80,75,85,60,85,75,2
80,75,65,70,55,60,5
75,70,70,60,50,75,2
80,75,60,55,50,75,5
65,75,80,65,65,75,2
45,60,50,45,45,60,1
55,65,60,40,60,60,5
85,70,80,65,55,60,1
80,65,60,65,65,60,2
75,75,80,50,65,70,100
65,80,70,60,40,75,5
70,75,80,60,55,90,6
70,95,95,75,40,100,6
75,70,60,65,75,75,5
70,65,75,55,50,90,1
60,95,80,70,50,70,1
80,80,85,70,55,75,5
95,70,90,75,75,75,6
75,70,80,80,70,90,100
75,80,70,60,60,70,5
55,60,60,45,55,75,1
75,60,75,50,55,65,2
75,80,75,60,45,70,5
65,80,80,40,55,85,6
55,85,95,55,50,80,2
80,75,65,55,55,80,6
75,90,70,75,60,70,6
85,85,80,65,60,85,100
75,65,60,60,50,55,5
60,85,65,65,55,80,100
95,85,85,65,70,85,100
60,80,95,55,50,75,100
65,80,80,70,50,80,100
70,75,60,65,55,75,100
70,75,80,50,55,85,2
60,65,80,55,40,85,100
60,75,80,50,45,75,6
45,80,60,60,50,70,1
70,70,80,50,55,80,5
75,60,60,50,65,70,5
65,80,65,55,45,75,5
40,55,40,40,40,40,4
65,70,55,60,55,65,2
65,60,85,45,55,70,2
60,65,70,55,45,65,4
80,85,90,55,50,90,5
70,80,80,70,55,85,5
70,65,65,65,65,75,5
80,80,80,70,65,90,5
65,60,50,55,50,65,5
55,55,55,55,65,60,5
80,80,75,60,50,75,5
65,60,60,50,45,75,5
65,75,60,65,60,70,5
75,70,75,55,45,60,6
85,70,70,55,70,85,2
50,50,45,40,40,65,4
70,65,70,60,65,75,5
55,50,65,40,50,70,1
65,85,85,65,50,95,6
80,55,45,55,60,65,5
80,70,65,55,55,75,5
65,80,60,60,55,85,5
55,90,85,45,45,75,2
75,80,100,50,50,85,2
70,65,85,45,60,80,6
60,75,70,65,50,70,1
65,75,80,55,65,80,5
75,75,75,80,65,80,6
70,80,80,55,55,70,6
80,65,65,50,55,65,6
60,60,60,55,50,80,6
80,65,80,60,50,80,5
70,60,60,65,60,70,6
85,65,70,65,70,80,6
60,60,75,60,80,75,3
80,70,75,70,50,75,6
55,65,65,55,55,75,6
75,70,80,65,60,80,1
60,75,65,65,40,70,6
70,65,60,55,65,85,6
70,90,65,65,50,70,4
75,70,80,55,55,75,2
55,85,60,60,55,75,4
70,70,80,50,55,95,1
70,65,60,55,50,75,1
55,65,65,40,50,75,4
60,85,85,50,55,80,2
80,70,75,60,60,50,1
75,65,65,65,55,70,6
70,75,60,70,65,80,6
60,75,85,65,45,90,2
75,65,90,50,50,85,1
70,65,70,60,45,80,6
70,65,65,55,50,75,4
85,100,100,85,60,100,1
55,65,70,50,50,65,1
70,70,60,70,55,75,1
75,75,85,60,55,90,1
45,70,60,60,55,75,4
70,80,60,55,55,85,1
80,75,65,65,65,70,6
65,75,70,60,40,80,1
40,80,65,65,45,70,1
80,65,75,75,75,75,6
75,50,70,60,50,70,2
80,90,85,60,65,90,2
70,75,85,55,55,75,4
85,75,95,60,55,85,6
75,70,80,65,65,100,1
80,60,50,55,60,75,6
80,90,90,75,50,95,2
80,70,55,65,50,75,6
70,95,80,60,45,85,1
75,75,70,55,50,80,6
75,80,75,60,50,75,6
60,75,75,55,70,85,1
60,65,50,55,60,80,1
75,75,90,75,70,95,2
85,75,95,75,55,75,1
80,80,75,70,50,85,2
75,85,85,80,80,85,2
65,95,80,55,65,100,4
55,55,75,40,45,70,2
70,70,65,60,70,80,5
60,75,80,65,60,90,4
75,90,95,65,60,95,2
70,75,70,45,55,80,4
80,90,75,55,50,80,2
75,75,85,60,50,95,2
70,70,65,65,45,75,1
75,80,70,65,55,65,4
65,70,70,50,50,80,1
60,55,45,65,45,50,6
65,85,70,65,45,80,1
75,80,90,65,50,85,2
80,80,75,65,60,75,4
65,90,95,60,65,90,4
45,70,60,60,65,70,4
60,75,60,65,40,95,1
75,70,60,60,55,80,5
70,60,70,45,50,75,6
70,75,85,65,70,80,2
70,75,80,60,60,80,2
75,90,90,80,75,95,1
70,60,90,40,50,80,5
